section,region,english_name,page_title,city_url,summary,reference_image,prompt_md,pc_output,mobile_output
Core series locations,Sinnoh,Fight Area,Fight Area,https://bulbapedia.bulbagarden.net/wiki/Fight_Area,,https://archives.bulbagarden.net/media/upload/thumb/7/7b/Fight_Area_BDSP.png/600px-Fight_Area_BDSP.png,prompts/sinnoh__fight-area.md,pc/sinnoh__fight-area__pc.webp,mobile/sinnoh__fight-area__mobile.webp
Core series locations,Sevii Islands,Five Island,Five Island (town),https://bulbapedia.bulbagarden.net/wiki/Five_Island_%28town%29,,https://archives.bulbagarden.net/media/upload/0/00/Five_Island_FRLG.png,prompts/sevii-islands__five-island.md,pc/sevii-islands__five-island__pc.webp,mobile/sevii-islands__five-island__mobile.webp
Core series locations,Sinnoh,Floaroma Town,Floaroma Town,https://bulbapedia.bulbagarden.net/wiki/Floaroma_Town,,https://archives.bulbagarden.net/media/upload/thumb/7/7f/Floaroma_Town_BDSP.png/600px-Floaroma_Town_BDSP.png,prompts/sinnoh__floaroma-town.md,pc/sinnoh__floaroma-town__pc.webp,mobile/sinnoh__floaroma-town__mobile.webp
Core series locations,Unova,Floccesy Town,Floccesy Town,https://bulbapedia.bulbagarden.net/wiki/Floccesy_Town,,https://archives.bulbagarden.net/media/upload/a/a9/Floccesy_Town_Spring_B2W2.png,prompts/unova__floccesy-town.md,pc/unova__floccesy-town__pc.webp,mobile/unova__floccesy-town__mobile.webp
Core series locations,Hoenn,Fortree City,Fortree City,https://bulbapedia.bulbagarden.net/wiki/Fortree_City,"Fortree City is a city, roughly between Mauville and Lilycove, in the Hoenn region. To its west are Route 119 and the Weather Institute, and to its east Route 120 and the Safari Zone.",https://archives.bulbagarden.net/media/upload/thumb/0/00/Fortree_City.png/600px-Fortree_City.png,prompts/hoenn__fortree-city.md,pc/hoenn__fortree-city__pc.webp,mobile/hoenn__fortree-city__mobile.webp
Core series locations,Sevii Islands,Four Island,Four Island (town),https://bulbapedia.bulbagarden.net/wiki/Four_Island_%28town%29,"Four Island is a small town located on the south-west side of Four Island. It is the most isolated of the seven cities of the Sevii Islands, as there are no routes connecting to it.",https://archives.bulbagarden.net/media/upload/thumb/9/94/Four_Island_FRLG.png/600px-Four_Island_FRLG.png,prompts/sevii-islands__four-island.md,pc/sevii-islands__four-island__pc.webp,mobile/sevii-islands__four-island__mobile.webp
Core series locations,Galar,Freezington,Freezington,https://bulbapedia.bulbagarden.net/wiki/Freezington,Freezington Freeze Village) is a village in the Crown Tundra in the Galar region. It connects to Slippery Slope to the north and Frostpoint Field to the south.,https://archives.bulbagarden.net/media/upload/thumb/7/7a/Galar_Freezington_SwSh.png/600px-Galar_Freezington_SwSh.png,prompts/galar__freezington.md,pc/galar__freezington__pc.webp,mobile/galar__freezington__mobile.webp
Core series locations,Johto,Frontier Access,Frontier Access,https://bulbapedia.bulbagarden.net/wiki/Frontier_Access,The Frontier Access is a location in Johto. It debuted in Pokémon HeartGold and SoulSilver.,https://archives.bulbagarden.net/media/upload/4/49/Frontier_Access_HGSS.png,prompts/johto__frontier-access.md,pc/johto__frontier-access__pc.webp,mobile/johto__frontier-access__mobile.webp
Core series locations,Kanto,Fuchsia City,Fuchsia City,https://bulbapedia.bulbagarden.net/wiki/Fuchsia_City,"If you were looking for the chapter in Pokémon Zensho, see PZ06. Fuchsia City is a city located in southwest Kanto.",https://archives.bulbagarden.net/media/upload/5/5e/Fuchsia_City_PE.png,prompts/kanto__fuchsia-city.md,pc/kanto__fuchsia-city__pc.webp,mobile/kanto__fuchsia-city__mobile.webp
Core series locations,Kalos,Geosenge Town,Geosenge Town,https://bulbapedia.bulbagarden.net/wiki/Geosenge_Town,Geosenge Town is a rural town located in the western part of the Kalos region. It is well known for its unusual rock structures which are rumored to have mysterious powers.,https://archives.bulbagarden.net/media/upload/7/70/Geosenge_Town_XY.png,prompts/kalos__geosenge-town.md,pc/kalos__geosenge-town__pc.webp,mobile/kalos__geosenge-town__mobile.webp
Core series locations,Johto,Goldenrod City,Goldenrod City,https://bulbapedia.bulbagarden.net/wiki/Goldenrod_City,"Goldenrod City is a sprawling metropolis located in western Johto. It is the largest city in the region, and one of the largest cities in the Pokémon world.",https://archives.bulbagarden.net/media/upload/thumb/6/65/Goldenrod_City_HGSS.png/600px-Goldenrod_City_HGSS.png,prompts/johto__goldenrod-city.md,pc/johto__goldenrod-city__pc.webp,mobile/johto__goldenrod-city__mobile.webp
Core series locations,Galar,Hammerlocke,Hammerlocke,https://bulbapedia.bulbagarden.net/wiki/Hammerlocke,Hammerlocke is a city situated in the center of the Galar region.,https://archives.bulbagarden.net/media/upload/e/e3/None.png,prompts/galar__hammerlocke.md,pc/galar__hammerlocke__pc.webp,mobile/galar__hammerlocke__mobile.webp
Core series locations,Alola,Hau'oli City,Hau'oli City,https://bulbapedia.bulbagarden.net/wiki/Hau%27oli_City,Hau'oli City is a coastal city situated on Melemele Island of the Alola region. It is the main location of the Pokémon Sun and Pokémon Moon Special Demo Version.,https://archives.bulbagarden.net/media/upload/thumb/e/ea/Hau%27oli_City_USUM.png/600px-Hau%27oli_City_USUM.png,prompts/alola__hau-oli-city.md,pc/alola__hau-oli-city__pc.webp,mobile/alola__hau-oli-city__mobile.webp
Core series locations,Alola,Heahea City,Heahea City,https://bulbapedia.bulbagarden.net/wiki/Heahea_City,Heahea City is a coastal city situated on Akala Island of the Alola region. The city was founded long ago by Trainers from the Kanto and Johto regions.,https://archives.bulbagarden.net/media/upload/3/3c/Heahea_City_SM.png,prompts/alola__heahea-city.md,pc/alola__heahea-city__pc.webp,mobile/alola__heahea-city__mobile.webp
Core series locations,Sinnoh,Hearthome City,Hearthome City,https://bulbapedia.bulbagarden.net/wiki/Hearthome_City,Hearthome City is a city in the Sinnoh region. Hearthome City is the fifth-largest city in the Pokémon world.,https://archives.bulbagarden.net/media/upload/thumb/a/a2/Hearthome_City_BDSP_Concept_Art.jpg/600px-Hearthome_City_BDSP_Concept_Art.jpg,prompts/sinnoh__hearthome-city.md,pc/sinnoh__hearthome-city__pc.webp,mobile/sinnoh__hearthome-city__mobile.webp
Core series locations,Galar,Hulbury,Hulbury,https://bulbapedia.bulbagarden.net/wiki/Hulbury,"Hulbury is a small town located in central Galar. It is home to the Galar region's Water-type Gym, Hulbury Stadium.",https://archives.bulbagarden.net/media/upload/thumb/1/10/Hulbury_SwSh.png/600px-Hulbury_SwSh.png,prompts/galar__hulbury.md,pc/galar__hulbury__pc.webp,mobile/galar__hulbury__mobile.webp
Core series locations,Unova,Humilau City,Humilau City,https://bulbapedia.bulbagarden.net/wiki/Humilau_City,"Humilau City is a city in northeastern Unova. It is the location of the Humilau Gym, with the Gym Leader Marlon.",https://archives.bulbagarden.net/media/upload/thumb/b/bf/Humilau_City_Spring_B2W2.png/600px-Humilau_City_Spring_B2W2.png,prompts/unova__humilau-city.md,pc/unova__humilau-city__pc.webp,mobile/unova__humilau-city__mobile.webp
Core series locations,Unova,Icirrus City,Icirrus City,https://bulbapedia.bulbagarden.net/wiki/Icirrus_City,"Icirrus City is a city located in northwestern Unova. Icirrus City is connected to Twist Mountain to the west, and Route 8 to the east.",https://archives.bulbagarden.net/media/upload/thumb/1/19/Icirrus_City_Summer_B2W2.png/600px-Icirrus_City_Summer_B2W2.png,prompts/unova__icirrus-city.md,pc/unova__icirrus-city__pc.webp,mobile/unova__icirrus-city__mobile.webp
Core series locations,Alola,Iki Town,Iki Town,https://bulbapedia.bulbagarden.net/wiki/Iki_Town,"Iki Town is a town on Melemele Island of the Alola region. It is where Kahuna Hala lives, and in Pokémon Sun and Moon, is the place where the player gets their first partner Pokémon.",https://archives.bulbagarden.net/media/upload/thumb/0/01/Iki_Town_SM.png/600px-Iki_Town_SM.png,prompts/alola__iki-town.md,pc/alola__iki-town__pc.webp,mobile/alola__iki-town__mobile.webp
Core series locations,Sinnoh,Jubilife City,Jubilife City,https://bulbapedia.bulbagarden.net/wiki/Jubilife_City,"Jubilife City is a city in the Sinnoh region. Jubilife is the most modernized city in the region, and according to the animated series, the largest city in Sinnoh.",https://archives.bulbagarden.net/media/upload/thumb/9/9e/Jubilife_City_BDSP_Concept_Art.jpg/600px-Jubilife_City_BDSP_Concept_Art.jpg,prompts/sinnoh__jubilife-city.md,pc/sinnoh__jubilife-city__pc.webp,mobile/sinnoh__jubilife-city__mobile.webp
Core series locations,Hisui,Jubilife Village,Jubilife Village,https://bulbapedia.bulbagarden.net/wiki/Jubilife_Village,Jubilife Village is a village in the Hisui region that was constructed by the Galaxy Expedition Team. It lies to the west of the Obsidian Fieldlands and the Cobalt Coastlands on a section of Hisui's western shore.,https://archives.bulbagarden.net/media/upload/thumb/8/8c/LA_Jubilife_Village.png/600px-LA_Jubilife_Village.png,prompts/hisui__jubilife-village.md,pc/hisui__jubilife-village__pc.webp,mobile/hisui__jubilife-village__mobile.webp
Core series locations,Kalos,Kiloude City,Kiloude City,https://bulbapedia.bulbagarden.net/wiki/Kiloude_City,"Kiloude City is a city located in the southern part of the Kalos region and is only accessible after the TMV Pass is obtained from Professor Sycamore in Lumiose Station after entering the Hall of Fame. After participating in a battle in the Battle Maison, Calem/Serena will battle the player daily in the north of the city.",https://archives.bulbagarden.net/media/upload/1/11/Kiloude_City_XY.png,prompts/kalos__kiloude-city.md,pc/kalos__kiloude-city__pc.webp,mobile/kalos__kiloude-city__mobile.webp
Core series locations,Alola,Konikoni City,Konikoni City,https://bulbapedia.bulbagarden.net/wiki/Konikoni_City,Konikoni City is a coastal city situated on Akala Island of the Alola region. An isolated area of Konikoni City can be accessed from Diglett's Tunnel using Machamp Shove.,https://archives.bulbagarden.net/media/upload/thumb/7/77/Konikoni_City_SM.png/600px-Konikoni_City_SM.png,prompts/alola__konikoni-city.md,pc/alola__konikoni-city__pc.webp,mobile/alola__konikoni-city__mobile.webp
Core series locations,Unova,Lacunosa Town,Lacunosa Town,https://bulbapedia.bulbagarden.net/wiki/Lacunosa_Town,Lacunosa Town is a town in the northeastern area of the Unova region. To the west of Lacunosa Town is Route 12 and to the east is Route 13.,https://archives.bulbagarden.net/media/upload/d/d9/Lacunosa_Town_Summer_B2W2.png,prompts/unova__lacunosa-town.md,pc/unova__lacunosa-town__pc.webp,mobile/unova__lacunosa-town__mobile.webp
Core series locations,Hoenn,Lavaridge Town,Lavaridge Town,https://bulbapedia.bulbagarden.net/wiki/Lavaridge_Town,,https://archives.bulbagarden.net/media/upload/thumb/6/65/Lavaridge_Town_ORAS.png/600px-Lavaridge_Town_ORAS.png,prompts/hoenn__lavaridge-town.md,pc/hoenn__lavaridge-town__pc.webp,mobile/hoenn__lavaridge-town__mobile.webp
Core series locations,Kanto,Lavender Town,Lavender Town,https://bulbapedia.bulbagarden.net/wiki/Lavender_Town,,https://archives.bulbagarden.net/media/upload/3/3e/Lavender_Town_PE.png,prompts/kanto__lavender-town.md,pc/kanto__lavender-town__pc.webp,mobile/kanto__lavender-town__mobile.webp
Core series locations,Kalos,Laverre City,Laverre City,https://bulbapedia.bulbagarden.net/wiki/Laverre_City,,https://archives.bulbagarden.net/media/upload/7/79/Laverre_City_XY.png,prompts/kalos__laverre-city.md,pc/kalos__laverre-city__pc.webp,mobile/kalos__laverre-city__mobile.webp
Core series locations,Unova,Lentimas Town,Lentimas Town,https://bulbapedia.bulbagarden.net/wiki/Lentimas_Town,,https://archives.bulbagarden.net/media/upload/thumb/e/e6/Lentimas_Town_B2W2.png/600px-Lentimas_Town_B2W2.png,prompts/unova__lentimas-town.md,pc/unova__lentimas-town__pc.webp,mobile/unova__lentimas-town__mobile.webp
Core series locations,Paldea,Levincia,Levincia,https://bulbapedia.bulbagarden.net/wiki/Levincia,,https://archives.bulbagarden.net/media/upload/thumb/1/1d/Levincia.png/600px-Levincia.png,prompts/paldea__levincia.md,pc/paldea__levincia__pc.webp,mobile/paldea__levincia__mobile.webp
Core series locations,Hoenn,Littleroot Town,Littleroot Town,https://bulbapedia.bulbagarden.net/wiki/Littleroot_Town,,https://archives.bulbagarden.net/media/upload/thumb/8/8b/Littleroot_Town_ORAS.png/600px-Littleroot_Town_ORAS.png,prompts/hoenn__littleroot-town.md,pc/hoenn__littleroot-town__pc.webp,mobile/hoenn__littleroot-town__mobile.webp
Core series locations,Hoenn,Lilycove City,Lilycove City,https://bulbapedia.bulbagarden.net/wiki/Lilycove_City,,https://archives.bulbagarden.net/media/upload/thumb/6/6f/Lilycove_City_ORAS.png/600px-Lilycove_City_ORAS.png,prompts/hoenn__lilycove-city.md,pc/hoenn__lilycove-city__pc.webp,mobile/hoenn__lilycove-city__mobile.webp
Core series locations,Paldea,Los Platos,Los Platos,https://bulbapedia.bulbagarden.net/wiki/Los_Platos,,https://archives.bulbagarden.net/media/upload/thumb/8/83/Los_Platos_SV.png/600px-Los_Platos_SV.png,prompts/paldea__los-platos.md,pc/paldea__los-platos__pc.webp,mobile/paldea__los-platos__mobile.webp
Core series locations,Kalos,Lumiose City,Lumiose City,https://bulbapedia.bulbagarden.net/wiki/Lumiose_City,,https://archives.bulbagarden.net/media/upload/thumb/f/fe/ZA_Lumiose_City_map.png/600px-ZA_Lumiose_City_map.png,prompts/kalos__lumiose-city.md,pc/kalos__lumiose-city__pc.webp,mobile/kalos__lumiose-city__mobile.webp
